City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,esperance,-33.8667,121.9,24.67,55,0,8.36,AU,1674455460
83,bengkulu,-3.8004,102.2655,24.63,90,100,3.25,ID,1674456202
84,zhanaozen,43.3,52.8,0.66,63,5,6.97,KZ,1674456202
85,tandalti,13.0167,31.8667,24.29,16,7,6.82,SD,1674456203
86,praia,14.9215,-23.5087,18.3,72,20,2.06,CV,1674456203
87,mataura,-46.1927,168.8643,13.97,57,10,2.64,NZ,1674456204
88,beringovskiy,63.05,179.3167,-22.31,96,100,6.71,RU,1674456204
89,pala,9.3642,14.9046,23.8,19,100,2.74,TD,1674456205
90,kavieng,-2.5744,150.7967,28.5,75,100,6.68,PG,1674456206
91,hof,50.3167,11.9167,-1.08,98,100,3.6,DE,1674456103
92,yellowknife,62.456,-114.3525,-15.71,85,100,3.09,CA,1674455914
93,tasiilaq,65.6145,-37.6368,-8.91,57,66,2.55,GL,1674456206
94,svetlyy,54.675,20.1347,-0.97,84,7,3.11,RU,1674456207
95,hanzhong,33.0728,107.0303,7.14,29,100,2.57,CN,1674456208
96,sao joao do paraiso,-15.3136,-42.0144,18.08,96,100,1.15,BR,1674456208
97,svetlogorsk,52.6333,29.7333,0.48,87,83,2.04,BY,1674456208
98,airai,-8.9266,125.4092,20.87,73,99,1.09,TL,1674456209
99,kontagora,10.3999,5.4695,22.97,18,46,2.28,NG,1674456210
100,khatanga,71.9667,102.5,-42.73,98,54,0.66,RU,1674456211
101,luderitz,-26.6481,15.1594,20.61,69,1,6.91,NA,1674456211
102,natal,-5.795,-35.2094,25.12,88,40,1.03,BR,1674455934
103,mahebourg,-20.4081,57.7,27.16,83,75,4.63,MU,1674456212
104,labuhan,-6.8844,112.2051,28.95,71,100,3.62,ID,1674455665
105,caravelas,-17.7125,-39.2481,23.97,91,100,3.84,BR,1674456212
106,pevek,69.7008,170.3133,-31.92,90,96,0.87,RU,1674456213
107,sibolga,1.7427,98.7792,25.5,91,100,1.0,ID,1674456213
108,road town,18.4167,-64.6167,24.05,64,6,9.22,VG,1674456203
109,puerto ayora,-0.7393,-90.3518,23.64,97,77,0.89,EC,1674456215
110,tazovskiy,67.4667,78.7,-31.82,99,24,2.92,RU,1674456107
111,laguna,38.421,-121.4238,10.05,43,0,7.2,US,1674456215
112,adrar,20.5022,-10.0711,13.44,17,0,4.48,MR,1674456216
113,leningradskiy,69.3833,178.4167,-34.5,92,29,3.66,RU,1674456216
114,barranca,-10.75,-77.7667,20.93,80,100,2.0,PE,1674456217
